INFO 2024-11-20 07:49:19,974 basehttp "GET /article/3 HTTP/1.1" 200 31860
WARNING 2024-11-20 07:49:26,314 log Forbidden (CSRF token from the 'X-Csrftoken' HTTP header has incorrect length.): /button-action/
WARNING 2024-11-20 07:49:26,315 basehttp "POST /button-action/ HTTP/1.1" 403 2549
WARNING 2024-11-20 07:49:29,163 log Forbidden (CSRF token from the 'X-Csrftoken' HTTP header has incorrect length.): /button-action/
WARNING 2024-11-20 07:49:29,164 basehttp "POST /button-action/ HTTP/1.1" 403 2549
WARNING 2024-11-20 07:49:29,728 log Forbidden (CSRF token from the 'X-Csrftoken' HTTP header has incorrect length.): /button-action/
WARNING 2024-11-20 07:49:29,729 basehttp "POST /button-action/ HTTP/1.1" 403 2549
WARNING 2024-11-20 07:49:30,462 log Forbidden (CSRF token from the 'X-Csrftoken' HTTP header has incorrect length.): /button-action/
WARNING 2024-11-20 07:49:30,463 basehttp "POST /button-action/ HTTP/1.1" 403 2549
WARNING 2024-11-20 07:49:30,619 log Forbidden (CSRF token from the 'X-Csrftoken' HTTP header has incorrect length.): /button-action/
WARNING 2024-11-20 07:49:30,620 basehttp "POST /button-action/ HTTP/1.1" 403 2549
WARNING 2024-11-20 07:49:30,784 log Forbidden (CSRF token from the 'X-Csrftoken' HTTP header has incorrect length.): /button-action/
WARNING 2024-11-20 07:49:30,787 basehttp "POST /button-action/ HTTP/1.1" 403 2549
INFO 2024-11-20 07:49:48,158 basehttp "GET /article/3 HTTP/1.1" 200 31858
INFO 2024-11-20 07:50:00,093 views This is an info message
WARNING 2024-11-20 07:50:00,093 views This is a warning message
ERROR 2024-11-20 07:50:00,093 views This is an error message
CRITICAL 2024-11-20 07:50:00,093 views This is a critical message
INFO 2024-11-20 07:50:00,094 basehttp "POST /button-action/ HTTP/1.1" 200 61
INFO 2024-11-20 07:50:05,943 views This is an info message
WARNING 2024-11-20 07:50:05,944 views This is a warning message
ERROR 2024-11-20 07:50:05,944 views This is an error message
CRITICAL 2024-11-20 07:50:05,945 views This is a critical message
INFO 2024-11-20 07:50:05,950 basehttp "POST /button-action/ HTTP/1.1" 200 61
INFO 2024-11-20 07:50:14,613 autoreload C:\Simpleblog\django-blog\django-blog\theblog\views.py changed, reloading.
INFO 2024-11-20 07:50:25,145 autoreload Watching for file changes with StatReloader
INFO 2024-11-20 07:50:36,340 views This is an info message
WARNING 2024-11-20 07:50:36,341 views This is a warning message
ERROR 2024-11-20 07:50:36,341 views This is an error message
CRITICAL 2024-11-20 07:50:36,341 views This is a critical message
INFO 2024-11-20 07:50:36,342 basehttp "POST /button-action/ HTTP/1.1" 200 60
INFO 2024-11-20 07:50:44,911 views This is an info message
WARNING 2024-11-20 07:50:44,911 views This is a warning message
ERROR 2024-11-20 07:50:44,911 views This is an error message
CRITICAL 2024-11-20 07:50:44,911 views This is a critical message
INFO 2024-11-20 07:50:44,912 basehttp "POST /button-action/ HTTP/1.1" 200 60
INFO 2024-11-20 07:50:47,327 views This is an info message
WARNING 2024-11-20 07:50:47,328 views This is a warning message
ERROR 2024-11-20 07:50:47,328 views This is an error message
CRITICAL 2024-11-20 07:50:47,328 views This is a critical message
INFO 2024-11-20 07:50:47,329 basehttp "POST /button-action/ HTTP/1.1" 200 60
INFO 2024-11-20 07:50:49,215 views This is an info message
WARNING 2024-11-20 07:50:49,216 views This is a warning message
ERROR 2024-11-20 07:50:49,216 views This is an error message
CRITICAL 2024-11-20 07:50:49,216 views This is a critical message
INFO 2024-11-20 07:50:49,217 basehttp "POST /button-action/ HTTP/1.1" 200 60
